point_id,target,role,vid_v,variant,label,frames_per_point,conditioning_codes,formal_code,all_frames_valid,formal_valid,formal_bits,formal_complete_v,formal_invalid_v,formal_timeout_v,formal_complete_time_s,formal_stable_margin_ns,sampled_diff_v,input_diff_v,job
t003_low,3,low,-1.6845822792353595,CURRENT,full_transition_expand0,2,2,2,True,True,00000010,3.3,0.0,0.0,8.75485e-07,104.5149999999999,-1.68457,-1.68457,current_full_transition_expand0_f2_sh000
t003_high,3,high,-1.6646604042353594,CURRENT,full_transition_expand0,2,3,3,True,True,00000011,3.3,0.0,0.0,1.87549e-06,104.51000000000008,-1.66465,-1.66465,current_full_transition_expand0_f2_sh000
t004_low,4,low,-1.6713222713921017,CURRENT,full_transition_expand0,2,3,3,True,True,00000011,3.3,0.0,0.0,2.87548e-06,104.51999999999973,-1.67131,-1.67131,current_full_transition_expand0_f2_sh000
t004_high,4,high,-1.6514003963921016,CURRENT,full_transition_expand0,2,4,4,True,True,00000100,3.3,0.0,0.0,3.87548e-06,104.52000000000014,-1.65139,-1.65139,current_full_transition_expand0_f2_sh000
t005_low,5,low,-1.6580622635488438,CURRENT,full_transition_expand0,2,4,4,True,True,00000100,3.3,0.0,0.0,4.87548e-06,104.52000000000099,-1.65805,-1.65805,current_full_transition_expand0_f2_sh000
t005_high,5,high,-1.6381403885488437,CURRENT,full_transition_expand0,2,5,5,True,True,00000101,3.3,0.0,0.0,5.87549e-06,104.51000000000029,-1.63813,-1.63813,current_full_transition_expand0_f2_sh000
t006_low,6,low,-1.644802255705586,CURRENT,full_transition_expand0,2,5,5,True,True,00000101,3.3,0.0,0.0,6.87548e-06,104.52000000000014,-1.64479,-1.64479,current_full_transition_expand0_f2_sh000
t006_high,6,high,-1.6248803807055858,CURRENT,full_transition_expand0,2,6,6,True,True,00000110,3.3,0.0,0.0,7.87549e-06,104.50999999999945,-1.62487,-1.62487,current_full_transition_expand0_f2_sh000
t007_low,7,low,-1.631542247862328,CURRENT,full_transition_expand0,2,6,6,True,True,00000110,3.3,0.0,0.0,8.87548e-06,104.52000000000014,-1.63153,-1.63153,current_full_transition_expand0_f2_sh000
t007_high,7,high,-1.611620372862328,CURRENT,full_transition_expand0,2,7,7,True,True,00000111,3.3,0.0,0.0,9.87548e-06,104.52000000000014,-1.61161,-1.61161,current_full_transition_expand0_f2_sh000
t008_low,8,low,-1.6182822400190702,CURRENT,full_transition_expand0,2,7,7,True,True,00000111,3.3,0.0,0.0,1.08755e-05,104.50000000000044,-1.61827,-1.61827,current_full_transition_expand0_f2_sh000
t008_high,8,high,-1.59836036501907,CURRENT,full_transition_expand0,2,8,8,True,True,00001000,3.3,0.0,0.0,1.18755e-05,104.50000000000044,-1.59835,-1.59835,current_full_transition_expand0_f2_sh000
t009_low,9,low,-1.6050222321758123,CURRENT,full_transition_expand0,2,8,8,True,True,00001000,3.3,0.0,0.0,1.28755e-05,104.49999999999875,-1.60501,-1.60501,current_full_transition_expand0_f2_sh000
t009_high,9,high,-1.5851003571758122,CURRENT,full_transition_expand0,2,9,9,True,True,00001001,3.3,0.0,0.0,1.38755e-05,104.50000000000044,-1.58509,-1.58509,current_full_transition_expand0_f2_sh000
t010_low,10,low,-1.5917622243325544,CURRENT,full_transition_expand0,2,9,9,True,True,00001001,3.3,0.0,0.0,1.48755e-05,104.50000000000044,-1.59175,-1.59175,current_full_transition_expand0_f2_sh000
t010_high,10,high,-1.5718403493325543,CURRENT,full_transition_expand0,2,10,10,True,True,00001010,3.3,0.0,0.0,1.58755e-05,104.49999999999875,-1.57183,-1.57183,current_full_transition_expand0_f2_sh000
t011_low,11,low,-1.5785022164892966,CURRENT,full_transition_expand0,2,10,10,True,True,00001010,3.3,0.0,0.0,1.68755e-05,104.49999999999535,-1.57849,-1.57849,current_full_transition_expand0_f2_sh000
t011_high,11,high,-1.5585803414892965,CURRENT,full_transition_expand0,2,11,11,True,True,00001011,3.3,0.0,0.0,1.78755e-05,104.49999999999875,-1.55857,-1.55857,current_full_transition_expand0_f2_sh000
t012_low,12,low,-1.5652422086460387,CURRENT,full_transition_expand0,2,11,11,True,True,00001011,3.3,0.0,0.0,1.88755e-05,104.49999999999875,-1.56523,-1.56523,current_full_transition_expand0_f2_sh000
t012_high,12,high,-1.5453203336460386,CURRENT,full_transition_expand0,2,12,12,True,True,00001100,3.3,0.0,0.0,1.98755e-05,104.49999999999875,-1.54531,-1.54531,current_full_transition_expand0_f2_sh000
t013_low,13,low,-1.5519822008027808,CURRENT,full_transition_expand0,2,12,12,True,True,00001100,3.3,0.0,0.0,2.08755e-05,104.49999999999875,-1.55197,-1.55197,current_full_transition_expand0_f2_sh000
t013_high,13,high,-1.5320603258027807,CURRENT,full_transition_expand0,2,13,13,True,True,00001101,3.3,0.0,0.0,2.18755e-05,104.49999999999535,-1.53205,-1.53205,current_full_transition_expand0_f2_sh000
t014_low,14,low,-1.538722192959523,CURRENT,full_transition_expand0,2,13,13,True,True,00001101,3.3,0.0,0.0,2.28755e-05,104.49999999999535,-1.53871,-1.53871,current_full_transition_expand0_f2_sh000
t014_high,14,high,-1.5188003179595229,CURRENT,full_transition_expand0,2,14,14,True,True,00001110,3.3,0.0,0.0,2.38755e-05,104.49999999999875,-1.51879,-1.51879,current_full_transition_expand0_f2_sh000
t015_low,15,low,-1.525462185116265,CURRENT,full_transition_expand0,2,14,14,True,True,00001110,3.3,0.0,0.0,2.48755e-05,104.49999999999875,-1.52545,-1.52545,current_full_transition_expand0_f2_sh000
t015_high,15,high,-1.505540310116265,CURRENT,full_transition_expand0,2,15,15,True,True,00001111,3.3,0.0,0.0,2.58755e-05,104.49999999999875,-1.50553,-1.50553,current_full_transition_expand0_f2_sh000
t017_low,17,low,-1.4989421694297493,CURRENT,full_transition_expand0,2,16,16,True,True,00010000,3.3,0.0,0.0,2.68755e-05,104.49999999999875,-1.49893,-1.49893,current_full_transition_expand0_f2_sh000
t017_high,17,high,-1.4790202944297492,CURRENT,full_transition_expand0,2,17,17,True,True,00010001,3.3,0.0,0.0,2.78755e-05,104.49999999999535,-1.47901,-1.47901,current_full_transition_expand0_f2_sh000
t018_low,18,low,-1.4856821615864915,CURRENT,full_transition_expand0,2,17,17,True,True,00010001,3.3,0.0,0.0,2.88755e-05,104.49999999999535,-1.48567,-1.48567,current_full_transition_expand0_f2_sh000
t018_high,18,high,-1.4657602865864914,CURRENT,full_transition_expand0,2,18,18,True,True,00010010,3.3,0.0,0.0,2.98755e-05,104.49999999999875,-1.46575,-1.46575,current_full_transition_expand0_f2_sh000
t019_low,19,low,-1.4724221537432336,CURRENT,full_transition_expand0,2,18,18,True,True,00010010,3.3,0.0,0.0,3.08755e-05,104.49999999999875,-1.47241,-1.47241,current_full_transition_expand0_f2_sh000
t019_high,19,high,-1.4525002787432335,CURRENT,full_transition_expand0,2,19,19,True,True,00010011,3.3,0.0,0.0,3.18755e-05,104.49999999999197,-1.45249,-1.45249,current_full_transition_expand0_f2_sh000
t020_low,20,low,-1.4591621458999757,CURRENT,full_transition_expand0,2,19,19,True,True,00010011,3.3,0.0,0.0,8.75481e-07,104.5189999999999,-1.45915,-1.45915,current_full_transition_expand0_f2_sh001
t020_high,20,high,-1.4392402708999756,CURRENT,full_transition_expand0,2,20,20,True,True,00010100,3.3,0.0,0.0,1.87548e-06,104.52000000000014,-1.43923,-1.43923,current_full_transition_expand0_f2_sh001
t021_low,21,low,-1.4459021380567179,CURRENT,full_transition_expand0,2,20,20,True,True,00010100,3.3,0.0,0.0,2.87548e-06,104.51999999999973,-1.44589,-1.44589,current_full_transition_expand0_f2_sh001
t021_high,21,high,-1.4259802630567178,CURRENT,full_transition_expand0,2,21,21,True,True,00010101,3.3,0.0,0.0,3.87548e-06,104.52000000000014,-1.42597,-1.42597,current_full_transition_expand0_f2_sh001
t022_low,22,low,-1.43264213021346,CURRENT,full_transition_expand0,2,21,21,True,True,00010101,3.3,0.0,0.0,4.87548e-06,104.52000000000099,-1.43263,-1.43263,current_full_transition_expand0_f2_sh001
t022_high,22,high,-1.41272025521346,CURRENT,full_transition_expand0,2,22,22,True,True,00010110,3.3,0.0,0.0,5.87549e-06,104.51000000000029,-1.41271,-1.41271,current_full_transition_expand0_f2_sh001
t023_low,23,low,-1.4193821223702021,CURRENT,full_transition_expand0,2,22,22,True,True,00010110,3.3,0.0,0.0,6.87548e-06,104.52000000000014,-1.41937,-1.41937,current_full_transition_expand0_f2_sh001
t023_high,23,high,-1.399460247370202,CURRENT,full_transition_expand0,2,23,23,True,True,00010111,3.3,0.0,0.0,7.87548e-06,104.52000000000014,-1.39945,-1.39945,current_full_transition_expand0_f2_sh001
t024_low,24,low,-1.4061221145269442,CURRENT,full_transition_expand0,2,23,23,True,True,00010111,3.3,0.0,0.0,8.87548e-06,104.52000000000014,-1.40611,-1.40611,current_full_transition_expand0_f2_sh001
t024_high,24,high,-1.3862002395269442,CURRENT,full_transition_expand0,2,24,24,True,True,00011000,3.3,0.0,0.0,9.87548e-06,104.52000000000014,-1.38619,-1.38619,current_full_transition_expand0_f2_sh001
t025_low,25,low,-1.3928621066836862,CURRENT,full_transition_expand0,2,24,24,True,True,00011000,3.3,0.0,0.0,1.08755e-05,104.50000000000044,-1.39285,-1.39285,current_full_transition_expand0_f2_sh001
t025_high,25,high,-1.372940231683686,CURRENT,full_transition_expand0,2,25,25,True,True,00011001,3.3,0.0,0.0,1.18755e-05,104.50000000000044,-1.37293,-1.37293,current_full_transition_expand0_f2_sh001
t026_low,26,low,-1.3796020988404283,CURRENT,full_transition_expand0,2,25,25,True,True,00011001,3.3,0.0,0.0,1.28755e-05,104.49999999999875,-1.37959,-1.37959,current_full_transition_expand0_f2_sh001
t026_high,26,high,-1.3596802238404282,CURRENT,full_transition_expand0,2,26,26,True,True,00011010,3.3,0.0,0.0,1.38755e-05,104.50000000000044,-1.35967,-1.35967,current_full_transition_expand0_f2_sh001
t027_low,27,low,-1.3663420909971704,CURRENT,full_transition_expand0,2,26,26,True,True,00011010,3.3,0.0,0.0,1.48755e-05,104.50000000000044,-1.36633,-1.36633,current_full_transition_expand0_f2_sh001
t027_high,27,high,-1.3464202159971703,CURRENT,full_transition_expand0,2,27,27,True,True,00011011,3.3,0.0,0.0,1.58755e-05,104.49999999999875,-1.34641,-1.34641,current_full_transition_expand0_f2_sh001
t028_low,28,low,-1.3530820831539125,CURRENT,full_transition_expand0,2,27,27,True,True,00011011,3.3,0.0,0.0,1.68755e-05,104.49999999999535,-1.35307,-1.35307,current_full_transition_expand0_f2_sh001
t028_high,28,high,-1.3331602081539125,CURRENT,full_transition_expand0,2,28,28,True,True,00011100,3.3,0.0,0.0,1.78755e-05,104.49999999999875,-1.33315,-1.33315,current_full_transition_expand0_f2_sh001
t029_low,29,low,-1.3398220753106547,CURRENT,full_transition_expand0,2,28,28,True,True,00011100,3.3,0.0,0.0,1.88755e-05,104.49999999999875,-1.33981,-1.33981,current_full_transition_expand0_f2_sh001
t029_high,29,high,-1.3199002003106546,CURRENT,full_transition_expand0,2,29,29,True,True,00011101,3.3,0.0,0.0,1.98755e-05,104.49999999999875,-1.31989,-1.31989,current_full_transition_expand0_f2_sh001
t030_low,30,low,-1.3265620674673968,CURRENT,full_transition_expand0,2,29,29,True,True,00011101,3.3,0.0,0.0,2.08755e-05,104.49999999999875,-1.32655,-1.32655,current_full_transition_expand0_f2_sh001
t030_high,30,high,-1.3066401924673967,CURRENT,full_transition_expand0,2,30,30,True,True,00011110,3.3,0.0,0.0,2.18755e-05,104.49999999999535,-1.30663,-1.30663,current_full_transition_expand0_f2_sh001
t034_low,34,low,-1.2735220360943653,CURRENT,full_transition_expand0,2,33,33,True,True,00100001,3.3,0.0,0.0,2.28755e-05,104.49999999999535,-1.27351,-1.27351,current_full_transition_expand0_f2_sh001
t034_high,34,high,-1.2536001610943652,CURRENT,full_transition_expand0,2,34,34,True,True,00100010,3.3,0.0,0.0,2.38755e-05,104.49999999999875,-1.25359,-1.25359,current_full_transition_expand0_f2_sh001
t035_low,35,low,-1.2602620282511074,CURRENT,full_transition_expand0,2,34,34,True,True,00100010,3.3,0.0,0.0,2.48755e-05,104.49999999999875,-1.26025,-1.26025,current_full_transition_expand0_f2_sh001
t035_high,35,high,-1.2403401532511074,CURRENT,full_transition_expand0,2,35,35,True,True,00100011,3.3,0.0,0.0,2.58755e-05,104.49999999999875,-1.24033,-1.24033,current_full_transition_expand0_f2_sh001
t036_low,36,low,-1.2470020204078496,CURRENT,full_transition_expand0,2,35,35,True,True,00100011,3.3,0.0,0.0,2.68755e-05,104.49999999999875,-1.24699,-1.24699,current_full_transition_expand0_f2_sh001
t036_high,36,high,-1.2270801454078495,CURRENT,full_transition_expand0,2,36,36,True,True,00100100,3.3,0.0,0.0,2.78755e-05,104.49999999999535,-1.22707,-1.22707,current_full_transition_expand0_f2_sh001
t037_low,37,low,-1.2337420125645917,CURRENT,full_transition_expand0,2,36,36,True,True,00100100,3.3,0.0,0.0,2.88755e-05,104.49999999999535,-1.23373,-1.23373,current_full_transition_expand0_f2_sh001
t037_high,37,high,-1.2138201375645916,CURRENT,full_transition_expand0,2,37,37,True,True,00100101,3.3,0.0,0.0,2.98755e-05,104.49999999999875,-1.21381,-1.21381,current_full_transition_expand0_f2_sh001
t038_low,38,low,-1.2204820047213338,CURRENT,full_transition_expand0,2,37,37,True,True,00100101,3.3,0.0,0.0,3.08755e-05,104.49999999999875,-1.22047,-1.22047,current_full_transition_expand0_f2_sh001
t038_high,38,high,-1.2005601297213337,CURRENT,full_transition_expand0,2,38,38,True,True,00100110,3.3,0.0,0.0,3.18755e-05,104.49999999999197,-1.20055,-1.20055,current_full_transition_expand0_f2_sh001
t039_low,39,low,-1.207221996878076,CURRENT,full_transition_expand0,2,38,38,True,True,00100110,3.3,0.0,0.0,8.75483e-07,104.51699999999995,-1.20721,-1.20721,current_full_transition_expand0_f2_sh002
t039_high,39,high,-1.1873001218780759,CURRENT,full_transition_expand0,2,39,39,True,True,00100111,3.3,0.0,0.0,1.87548e-06,104.52000000000014,-1.18729,-1.18729,current_full_transition_expand0_f2_sh002
t040_low,40,low,-1.193961989034818,CURRENT,full_transition_expand0,2,39,39,True,True,00100111,3.3,0.0,0.0,2.87548e-06,104.51999999999973,-1.19395,-1.19395,current_full_transition_expand0_f2_sh002
t040_high,40,high,-1.174040114034818,CURRENT,full_transition_expand0,2,40,40,True,True,00101000,3.3,0.0,0.0,3.87548e-06,104.52000000000014,-1.17403,-1.17403,current_full_transition_expand0_f2_sh002
t041_low,41,low,-1.1807019811915602,CURRENT,full_transition_expand0,2,40,40,True,True,00101000,3.3,0.0,0.0,4.87548e-06,104.52000000000099,-1.18069,-1.18069,current_full_transition_expand0_f2_sh002
t041_high,41,high,-1.1607801061915601,CURRENT,full_transition_expand0,2,41,41,True,True,00101001,3.3,0.0,0.0,5.87549e-06,104.51000000000029,-1.16077,-1.16077,current_full_transition_expand0_f2_sh002
t042_low,42,low,-1.1674419733483024,CURRENT,full_transition_expand0,2,41,41,True,True,00101001,3.3,0.0,0.0,6.87548e-06,104.52000000000014,-1.16743,-1.16743,current_full_transition_expand0_f2_sh002
t042_high,42,high,-1.1475200983483023,CURRENT,full_transition_expand0,2,42,42,True,True,00101010,3.3,0.0,0.0,7.87549e-06,104.50999999999945,-1.14751,-1.14751,current_full_transition_expand0_f2_sh002
t043_low,43,low,-1.1541819655050445,CURRENT,full_transition_expand0,2,42,42,True,True,00101010,3.3,0.0,0.0,8.87548e-06,104.52000000000014,-1.15417,-1.15417,current_full_transition_expand0_f2_sh002
t043_high,43,high,-1.1342600905050444,CURRENT,full_transition_expand0,2,43,43,True,True,00101011,3.3,0.0,0.0,9.87548e-06,104.52000000000014,-1.13425,-1.13425,current_full_transition_expand0_f2_sh002
t044_low,44,low,-1.1409219576617866,CURRENT,full_transition_expand0,2,43,43,True,True,00101011,3.3,0.0,0.0,1.08755e-05,104.50000000000044,-1.14091,-1.14091,current_full_transition_expand0_f2_sh002
t044_high,44,high,-1.1210000826617865,CURRENT,full_transition_expand0,2,44,44,True,True,00101100,3.3,0.0,0.0,1.18755e-05,104.50000000000044,-1.12099,-1.12099,current_full_transition_expand0_f2_sh002
t045_low,45,low,-1.1276619498185287,CURRENT,full_transition_expand0,2,44,44,True,True,00101100,3.3,0.0,0.0,1.28755e-05,104.49999999999875,-1.12765,-1.12765,current_full_transition_expand0_f2_sh002
t045_high,45,high,-1.1077400748185287,CURRENT,full_transition_expand0,2,45,45,True,True,00101101,3.3,0.0,0.0,1.38755e-05,104.50000000000044,-1.10773,-1.10773,current_full_transition_expand0_f2_sh002
t046_low,46,low,-1.1144019419752709,CURRENT,full_transition_expand0,2,45,45,True,True,00101101,3.3,0.0,0.0,1.48755e-05,104.50000000000044,-1.11439,-1.11439,current_full_transition_expand0_f2_sh002
t046_high,46,high,-1.0944800669752708,CURRENT,full_transition_expand0,2,46,46,True,True,00101110,3.3,0.0,0.0,1.58755e-05,104.49999999999875,-1.09447,-1.09447,current_full_transition_expand0_f2_sh002
t047_low,47,low,-1.101141934132013,CURRENT,full_transition_expand0,2,46,46,True,True,00101110,3.3,0.0,0.0,1.68755e-05,104.49999999999535,-1.10113,-1.10113,current_full_transition_expand0_f2_sh002
t047_high,47,high,-1.081220059132013,CURRENT,full_transition_expand0,2,47,47,True,True,00101111,3.3,0.0,0.0,1.78755e-05,104.49999999999875,-1.08121,-1.08121,current_full_transition_expand0_f2_sh002
t049_low,49,low,-1.0746219184454973,CURRENT,full_transition_expand0,2,48,48,True,True,00110000,3.3,0.0,0.0,1.88755e-05,104.49999999999875,-1.07461,-1.07461,current_full_transition_expand0_f2_sh002
t049_high,49,high,-1.0547000434454972,CURRENT,full_transition_expand0,2,49,49,True,True,00110001,3.3,0.0,0.0,1.98755e-05,104.49999999999875,-1.05469,-1.05469,current_full_transition_expand0_f2_sh002
t050_low,50,low,-1.0613619106022394,CURRENT,full_transition_expand0,2,49,49,True,True,00110001,3.3,0.0,0.0,2.08755e-05,104.49999999999875,-1.06135,-1.06135,current_full_transition_expand0_f2_sh002
t050_high,50,high,-1.0414400356022393,CURRENT,full_transition_expand0,2,50,50,True,True,00110010,3.3,0.0,0.0,2.18755e-05,104.49999999999535,-1.04143,-1.04143,current_full_transition_expand0_f2_sh002
t051_low,51,low,-1.0481019027589815,CURRENT,full_transition_expand0,2,50,50,True,True,00110010,3.3,0.0,0.0,2.28755e-05,104.49999999999535,-1.04809,-1.04809,current_full_transition_expand0_f2_sh002
t051_high,51,high,-1.0281800277589814,CURRENT,full_transition_expand0,2,51,51,True,True,00110011,3.3,0.0,0.0,2.38755e-05,104.49999999999875,-1.02817,-1.02817,current_full_transition_expand0_f2_sh002
t052_low,52,low,-1.0348418949157236,CURRENT,full_transition_expand0,2,51,51,True,True,00110011,3.3,0.0,0.0,2.48755e-05,104.49999999999875,-1.03483,-1.03483,current_full_transition_expand0_f2_sh002
t052_high,52,high,-1.0149200199157236,CURRENT,full_transition_expand0,2,52,52,True,True,00110100,3.3,0.0,0.0,2.58755e-05,104.49999999999875,-1.01491,-1.01491,current_full_transition_expand0_f2_sh002
t053_low,53,low,-1.0215818870724658,CURRENT,full_transition_expand0,2,52,52,True,True,00110100,3.3,0.0,0.0,2.68755e-05,104.49999999999875,-1.02157,-1.02157,current_full_transition_expand0_f2_sh002
t053_high,53,high,-1.0016600120724657,CURRENT,full_transition_expand0,2,53,53,True,True,00110101,3.3,0.0,0.0,2.78755e-05,104.49999999999535,-1.00165,-1.00165,current_full_transition_expand0_f2_sh002
t054_low,54,low,-1.008321879229208,CURRENT,full_transition_expand0,2,53,53,True,True,00110101,3.3,0.0,0.0,2.88755e-05,104.49999999999535,-1.00831,-1.00831,current_full_transition_expand0_f2_sh002
t054_high,54,high,-0.9884000042292078,CURRENT,full_transition_expand0,2,54,54,True,True,00110110,3.3,0.0,0.0,2.98755e-05,104.49999999999875,-0.98839,-0.98839,current_full_transition_expand0_f2_sh002
t055_low,55,low,-0.99506187138595,CURRENT,full_transition_expand0,2,54,54,True,True,00110110,3.3,0.0,0.0,3.08755e-05,104.49999999999875,-0.995052,-0.995052,current_full_transition_expand0_f2_sh002
t055_high,55,high,-0.97513999638595,CURRENT,full_transition_expand0,2,55,55,True,True,00110111,3.3,0.0,0.0,3.18755e-05,104.49999999999197,-0.97513,-0.97513,current_full_transition_expand0_f2_sh002
t056_low,56,low,-0.9818018635426922,CURRENT,full_transition_expand0,2,55,55,True,True,00110111,3.3,0.0,0.0,8.75483e-07,104.51699999999995,-0.981792,-0.981792,current_full_transition_expand0_f2_sh003
t056_high,56,high,-0.9618799885426921,CURRENT,full_transition_expand0,2,56,56,True,True,00111000,3.3,0.0,0.0,1.87548e-06,104.52000000000014,-0.96187,-0.96187,current_full_transition_expand0_f2_sh003
t057_low,57,low,-0.9685418556994343,CURRENT,full_transition_expand0,2,56,56,True,True,00111000,3.3,0.0,0.0,2.87548e-06,104.51999999999973,-0.968532,-0.968532,current_full_transition_expand0_f2_sh003
t057_high,57,high,-0.9486199806994342,CURRENT,full_transition_expand0,2,57,57,True,True,00111001,3.3,0.0,0.0,3.87548e-06,104.52000000000014,-0.94861,-0.94861,current_full_transition_expand0_f2_sh003
t058_low,58,low,-0.9552818478561764,CURRENT,full_transition_expand0,2,57,57,True,True,00111001,3.3,0.0,0.0,4.87548e-06,104.52000000000099,-0.955272,-0.955272,current_full_transition_expand0_f2_sh003
t058_high,58,high,-0.9353599728561763,CURRENT,full_transition_expand0,2,58,58,True,True,00111010,3.3,0.0,0.0,5.87548e-06,104.52000000000014,-0.93535,-0.93535,current_full_transition_expand0_f2_sh003
t059_low,59,low,-0.9420218400129186,CURRENT,full_transition_expand0,2,58,58,True,True,00111010,3.3,0.0,0.0,6.87548e-06,104.52000000000014,-0.942012,-0.942012,current_full_transition_expand0_f2_sh003
t059_high,59,high,-0.9220999650129185,CURRENT,full_transition_expand0,2,59,59,True,True,00111011,3.3,0.0,0.0,7.87548e-06,104.52000000000014,-0.92209,-0.92209,current_full_transition_expand0_f2_sh003
t060_low,60,low,-0.9287618321696607,CURRENT,full_transition_expand0,2,59,59,True,True,00111011,3.3,0.0,0.0,8.87548e-06,104.52000000000014,-0.928752,-0.928752,current_full_transition_expand0_f2_sh003
t060_high,60,high,-0.9088399571696606,CURRENT,full_transition_expand0,2,60,60,True,True,00111100,3.3,0.0,0.0,9.87548e-06,104.52000000000014,-0.90883,-0.90883,current_full_transition_expand0_f2_sh003
t061_low,61,low,-0.9155018243264028,CURRENT,full_transition_expand0,2,60,60,True,True,00111100,3.3,0.0,0.0,1.08755e-05,104.50000000000044,-0.915492,-0.915492,current_full_transition_expand0_f2_sh003
t061_high,61,high,-0.8955799493264027,CURRENT,full_transition_expand0,2,61,61,True,True,00111101,3.3,0.0,0.0,1.18755e-05,104.50000000000044,-0.89557,-0.89557,current_full_transition_expand0_f2_sh003
t062_low,62,low,-0.9022418164831449,CURRENT,full_transition_expand0,2,61,61,True,True,00111101,3.3,0.0,0.0,1.28755e-05,104.49999999999875,-0.902232,-0.902232,current_full_transition_expand0_f2_sh003
t062_high,62,high,-0.8823199414831449,CURRENT,full_transition_expand0,2,62,62,True,True,00111110,3.3,0.0,0.0,1.38755e-05,104.50000000000044,-0.88231,-0.88231,current_full_transition_expand0_f2_sh003
t066_low,66,low,-0.8492017851101135,CURRENT,full_transition_expand0,2,65,65,True,True,01000001,3.3,0.0,0.0,1.48755e-05,104.50000000000044,-0.849192,-0.849192,current_full_transition_expand0_f2_sh003
t066_high,66,high,-0.8292799101101134,CURRENT,full_transition_expand0,2,66,66,True,True,01000010,3.3,0.0,0.0,1.58755e-05,104.49999999999875,-0.82927,-0.82927,current_full_transition_expand0_f2_sh003
t067_low,67,low,-0.8359417772668556,CURRENT,full_transition_expand0,2,66,66,True,True,01000010,3.3,0.0,0.0,1.68755e-05,104.49999999999535,-0.835932,-0.835932,current_full_transition_expand0_f2_sh003
t067_high,67,high,-0.8160199022668555,CURRENT,full_transition_expand0,2,67,67,True,True,01000011,3.3,0.0,0.0,1.78755e-05,104.49999999999875,-0.81601,-0.81601,current_full_transition_expand0_f2_sh003
t068_low,68,low,-0.8226817694235977,CURRENT,full_transition_expand0,2,67,67,True,True,01000011,3.3,0.0,0.0,1.88755e-05,104.49999999999875,-0.822672,-0.822672,current_full_transition_expand0_f2_sh003
t068_high,68,high,-0.8027598944235976,CURRENT,full_transition_expand0,2,68,68,True,True,01000100,3.3,0.0,0.0,1.98755e-05,104.49999999999875,-0.80275,-0.80275,current_full_transition_expand0_f2_sh003
t069_low,69,low,-0.8094217615803398,CURRENT,full_transition_expand0,2,68,68,True,True,01000100,3.3,0.0,0.0,2.08755e-05,104.49999999999875,-0.809412,-0.809412,current_full_transition_expand0_f2_sh003
t069_high,69,high,-0.7894998865803398,CURRENT,full_transition_expand0,2,69,69,True,True,01000101,3.3,0.0,0.0,2.18755e-05,104.49999999999535,-0.78949,-0.78949,current_full_transition_expand0_f2_sh003
t070_low,70,low,-0.796161753737082,CURRENT,full_transition_expand0,2,69,69,True,True,01000101,3.3,0.0,0.0,2.28755e-05,104.49999999999535,-0.796152,-0.796152,current_full_transition_expand0_f2_sh003
t070_high,70,high,-0.7762398787370819,CURRENT,full_transition_expand0,2,70,70,True,True,01000110,3.3,0.0,0.0,2.38755e-05,104.49999999999875,-0.77623,-0.77623,current_full_transition_expand0_f2_sh003
t071_low,71,low,-0.7829017458938241,CURRENT,full_transition_expand0,2,70,70,True,True,01000110,3.3,0.0,0.0,2.48755e-05,104.49999999999875,-0.782892,-0.782892,current_full_transition_expand0_f2_sh003
t071_high,71,high,-0.762979870893824,CURRENT,full_transition_expand0,2,71,71,True,True,01000111,3.3,0.0,0.0,2.58755e-05,104.49999999999875,-0.76297,-0.76297,current_full_transition_expand0_f2_sh003
t072_low,72,low,-0.7696417380505662,CURRENT,full_transition_expand0,2,71,71,True,True,01000111,3.3,0.0,0.0,2.68755e-05,104.49999999999875,-0.769632,-0.769632,current_full_transition_expand0_f2_sh003
t072_high,72,high,-0.7497198630505661,CURRENT,full_transition_expand0,2,72,72,True,True,01001000,3.3,0.0,0.0,2.78755e-05,104.49999999999535,-0.74971,-0.74971,current_full_transition_expand0_f2_sh003
t073_low,73,low,-0.7563817302073084,CURRENT,full_transition_expand0,2,72,72,True,True,01001000,3.3,0.0,0.0,2.88755e-05,104.49999999999535,-0.756372,-0.756372,current_full_transition_expand0_f2_sh003
t073_high,73,high,-0.7364598552073083,CURRENT,full_transition_expand0,2,73,73,True,True,01001001,3.3,0.0,0.0,2.98755e-05,104.49999999999875,-0.73645,-0.73645,current_full_transition_expand0_f2_sh003
t074_low,74,low,-0.7431217223640505,CURRENT,full_transition_expand0,2,73,73,True,True,01001001,3.3,0.0,0.0,3.08755e-05,104.49999999999875,-0.743112,-0.743112,current_full_transition_expand0_f2_sh003
t074_high,74,high,-0.7231998473640504,CURRENT,full_transition_expand0,2,74,74,True,True,01001010,3.3,0.0,0.0,3.18755e-05,104.49999999999197,-0.72319,-0.72319,current_full_transition_expand0_f2_sh003
t075_low,75,low,-0.7298617145207926,CURRENT,full_transition_expand0,2,74,74,True,True,01001010,3.3,0.0,0.0,8.75484e-07,104.51599999999993,-0.729852,-0.729852,current_full_transition_expand0_f2_sh004
t075_high,75,high,-0.7099398395207925,CURRENT,full_transition_expand0,2,75,75,True,True,01001011,3.3,0.0,0.0,1.87549e-06,104.51000000000008,-0.70993,-0.70993,current_full_transition_expand0_f2_sh004
t076_low,76,low,-0.7166017066775348,CURRENT,full_transition_expand0,2,75,75,True,True,01001011,3.3,0.0,0.0,2.87548e-06,104.51999999999973,-0.716592,-0.716592,current_full_transition_expand0_f2_sh004
