job_id,phase,role,category,mismatch_seed,noise_mode,noise_seed,band,pvt,warmup_frames,total_frames,retained_frame_start,retained_frame_end,nfft,bin,fin_hz,maxstep_ps,solver_profile,required,state,returncode,elapsed_s,overall_status,completed_utc
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S188_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MARGINAL_DIAGNOSTIC,188,ON,100188,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S142_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,REFERENCE_CONTROL,142,ON,100142,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S053_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,REFERENCE_CONTROL,53,ON,100053,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,REFERENCE_CONTROL,132,ON,100132,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S096_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,REFERENCE_CONTROL,96,ON,100096,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,44,ON,100044,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,26,ON,100026,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S065_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,65,ON,100065,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,21,ON,100021,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,36,ON,100036,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,2,ON,100002,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,12,ON,100012,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S182_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,182,ON,100182,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S086_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MIDDLE_TAIL,86,ON,100086,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S080_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MIDDLE_TAIL,80,ON,100080,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S128_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MIDDLE_TAIL,128,ON,100128,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S189_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MIDDLE_TAIL,189,ON,100189,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S116_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MARGINAL_DIAGNOSTIC,116,ON,100116,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S190_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MARGINAL_DIAGNOSTIC,190,ON,100190,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S045_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MARGINAL_DIAGNOSTIC,45,ON,100045,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S188_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,MARGINAL_DIAGNOSTIC,188,ON,100188,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S142_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,REFERENCE_CONTROL,142,ON,100142,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
