job_id,pvt,mismatch_seed,seed,process,mim,not_statistical,temp,vdd,rng_burn_19,bridge_low,bridge_high,logic_high,candidate_comparator_bound,pass
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S190_LOW_W4,SS_3P0_125C,190,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S045_LOW_W4,SS_3P0_125C,45,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S188_LOW_W4,SS_3P0_125C,188,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S142_LOW_W4,SS_3P0_125C,142,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S053_LOW_W4,SS_3P0_125C,53,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,SS_3P0_125C,132,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S096_LOW_W4,SS_3P0_125C,96,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,FF_3P6_M40C,44,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,FF_3P6_M40C,26,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S065_LOW_W4,FF_3P6_M40C,65,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,FF_3P6_M40C,21,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,FF_3P6_M40C,36,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,FF_3P6_M40C,2,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,FF_3P6_M40C,12,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S182_LOW_W4,FF_3P6_M40C,182,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S086_LOW_W4,FF_3P6_M40C,86,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S080_LOW_W4,FF_3P6_M40C,80,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S128_LOW_W4,FF_3P6_M40C,128,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S189_LOW_W4,FF_3P6_M40C,189,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S116_LOW_W4,FF_3P6_M40C,116,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S190_LOW_W4,FF_3P6_M40C,190,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S045_LOW_W4,FF_3P6_M40C,45,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S188_LOW_W4,FF_3P6_M40C,188,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S142_LOW_W4,FF_3P6_M40C,142,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S053_LOW_W4,FF_3P6_M40C,53,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,FF_3P6_M40C,132,True,True,True,True,True,True,True,True,True,True,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S096_LOW_W4,FF_3P6_M40C,96,True,True,True,True,True,True,True,True,True,True,True,True
